clave_usuar,actoken,fecha_regis,dg_01,dg_2,dg_3,dg_4,dg_5,dg_6,dg_7,dg_8,fecha_resdg
46982,Activo,01/01/2025 12:58,2.0,2.0,38.0,1.0,0.0,5.0,5.0,1.0,01/01/2025 13:01
46983,Activo,01/01/2025 21:16,1.0,2.0,34.0,1.0,0.0,4.0,4.0,3.0,01/01/2025 21:19
46984,Activo,01/01/2025 21:49,1.0,1.0,34.0,1.0,0.0,1.0,2.0,3.0,01/01/2025 22:09
46986,Activo,02/01/2025 13:04,2.0,2.0,35.0,1.0,0.0,5.0,5.0,1.0,02/01/2025 13:16
46987,Activo,02/01/2025 15:09,2.0,1.0,32.0,1.0,0.0,1.0,3.0,3.0,02/01/2025 15:15
46991,Activo,02/01/2025 18:24,2.0,1.0,30.0,1.0,0.0,3.0,5.0,1.0,02/01/2025 18:27
46992,Activo,03/01/2025 09:37,2.0,2.0,39.0,4.0,1.0,4.0,5.0,3.0,03/01/2025 09:39
46994,Activo,03/01/2025 23:26,1.0,2.0,22.0,1.0,0.0,1.0,3.0,3.0,03/01/2025 23:30
47000,Activo,04/01/2025 01:57,2.0,2.0,38.0,1.0,1.0,6.0,4.0,3.0,04/01/2025 02:00
47004,Activo,04/01/2025 06:41,2.0,1.0,27.0,1.0,0.0,6.0,4.0,3.0,04/01/2025 06:45
47005,Activo,04/01/2025 09:07,2.0,2.0,26.0,1.0,0.0,4.0,4.0,2.0,04/01/2025 09:10
47002,Activo,04/01/2025 03:33,1.0,1.0,21.0,2.0,0.0,1.0,3.0,3.0,04/01/2025 09:37
47007,Activo,04/01/2025 12:42,2.0,2.0,33.0,2.0,1.0,4.0,4.0,2.0,04/01/2025 12:45
47008,Activo,04/01/2025 13:04,2.0,2.0,36.0,1.0,1.0,4.0,4.0,2.0,04/01/2025 13:05
47009,Activo,04/01/2025 14:32,1.0,2.0,21.0,1.0,0.0,1.0,4.0,3.0,04/01/2025 14:36
47010,Activo,04/01/2025 14:39,2.0,2.0,53.0,4.0,1.0,4.0,5.0,3.0,04/01/2025 14:42
47011,Activo,04/01/2025 21:05,1.0,2.0,40.0,3.0,1.0,5.0,4.0,3.0,04/01/2025 21:13
47012,Activo,04/01/2025 21:35,1.0,2.0,37.0,3.0,0.0,5.0,4.0,3.0,04/01/2025 21:41
47015,Activo,04/01/2025 22:41,6.0,2.0,17.0,1.0,0.0,1.0,3.0,1.0,04/01/2025 22:45
47016,Activo,05/01/2025 00:29,2.0,2.0,38.0,1.0,1.0,6.0,3.0,1.0,05/01/2025 00:32
47021,Activo,05/01/2025 13:32,1.0,2.0,15.0,1.0,0.0,1.0,2.0,3.0,05/01/2025 13:44
47026,Activo,06/01/2025 02:52,1.0,2.0,33.0,1.0,0.0,4.0,5.0,2.0,06/01/2025 02:55
47027,Activo,06/01/2025 09:40,2.0,1.0,39.0,1.0,0.0,4.0,4.0,3.0,06/01/2025 09:42
47028,Activo,06/01/2025 20:24,1.0,2.0,47.0,1.0,0.0,4.0,4.0,2.0,06/01/2025 20:28
47032,Activo,07/01/2025 09:16,1.0,2.0,65.0,1.0,1.0,4.0,4.0,1.0,07/01/2025 09:21
